office,advertiser_party,election_state,advertiser_type,advertiser,target,title,link,issues_combined,total_airings_to_date,estimated_spending,first_aired_on
house,Republican,TN,Candidate,Harshbarger for TN CD-01,Harshbarger for TN CD-01,Borders Matter,https://s3.amazonaws.com/pdfweb/videos/a78d1ce3-392a-4656-9e72-873922eb6bf2.mp4,Coronavirus|Donald Trump|Immigration,343,31528.38,2020-05-14
house,Republican,FL,Candidate,Askar for FL CD-19,Askar for FL CD-19,Control The Border,https://s3.amazonaws.com/pdfweb/videos/ae4b5021-9dbe-4a57-8566-a4059e68ce2b.mp4,Coronavirus|Donald Trump|Immigration,330,78489.92,2020-05-22
house,Republican,IN,Candidate,Spartz for IN CD-05,Spartz for IN CD-05,Misery Of Socialism,https://s3.amazonaws.com/pdfweb/videos/78dc7a6e-f73c-431a-810b-74677324c138.mp4,Alexandria Ocasio-Cortez|Coronavirus|Donald Trump,330,43917.5,2020-05-08
house,Republican,GA,Candidate,Fuller for GA CD-14,Fuller for GA CD-14,On Duty For Us,https://s3.amazonaws.com/pdfweb/videos/2417ebe9-faca-49be-b0b9-138b8e71145e.mp4,Coronavirus|Donald Trump|Terrorism,327,34215.42,2020-04-18
house,Independent,VA,Issue Group,With Honor Action,Luria for VA CD-02,Crisis Demands Action,https://s3.amazonaws.com/pdfweb/videos/030765ee-32f8-4332-8b86-a1fb5f3b2664.mp4,Bipartisanship|Coronavirus|Veterans,317,117192.72,2020-06-24
house,Republican,IL,Issue Group,American Action Network,Davis for IL CD-13,Find Cures Faster,https://s3.amazonaws.com/pdfweb/videos/1e54ef88-6687-453e-a52d-d4d706780055.mp4,Bipartisanship|Coronavirus|Economy,309,113865.49,2020-07-17
house,Republican,PA,Candidate,Bognet for PA CD-08,Bognet for PA CD-08,Things Have Changed,https://s3.amazonaws.com/pdfweb/videos/9744d2ac-8a22-4e07-9c6b-3f72db8aa63c.mp4,Coronavirus|Donald Trump|Trade,308,46086.31,2020-05-15
house,Democrat,SC,Candidate,Cunningham for SC CD-01,Cunningham for SC CD-01,Work Together,https://s3.amazonaws.com/pdfweb/videos/38899f23-c0d4-4847-808a-e3314894d19e.mp4,Bipartisanship|Coronavirus|Veterans,304,62651.88,2020-07-02
house,Democrat,VA,Candidate,Webb for VA CD-05,Webb for VA CD-05,Not Going Away,https://s3.amazonaws.com/pdfweb/videos/0bc29b6b-e627-4f86-8c07-f69055eecb56.mp4,Barack Obama|Coronavirus|Medicare,302,17264.920000000002,2020-06-19
house,Democrat,PA,Candidate,Cartwright for PA CD-08,Bognet for PA CD-08,Move America Forward,https://s3.amazonaws.com/pdfweb/videos/6f307f3f-8b18-4db5-8384-0ebd524adc5a.mp4,Coronavirus|Healthcare|,274,31994.89,2020-07-14
house,Republican,WA,Candidate,McMorris-Rodgers for WA CD-05,McMorris-Rodgers for WA CD-05,Restore Hope,https://s3.amazonaws.com/pdfweb/videos/58e5b7ad-6267-43db-b2df-0eddd2160702.mp4,Coronavirus||,274,15485.25,2020-07-17
house,Republican,NY,Candidate,Parlato for NY CD-27,Jacobs for NY CD-27,Conservative Values First,https://s3.amazonaws.com/pdfweb/videos/6b1c8a21-cb96-4e7b-b590-9ad4188b300f.mp4,Career Politicians|Coronavirus|Donald Trump,259,37335.87,2020-06-01
house,Democrat,NM,Candidate,Torres-Small for NM CD-02,Torres-Small for NM CD-02,Poner la PolÃ­tica a un lado,https://s3.amazonaws.com/pdfweb/videos/1d10aa06-bfab-4974-a5ae-305169538981.mp4,Bipartisanship|Coronavirus|Donald Trump,252,21161.45,2020-07-14
house,Democrat,NY,Candidate,Caruso-Cabrera for NY CD-14,Ocasio-Cortez for NY CD-14,AOC Was MIA,https://s3.amazonaws.com/pdfweb/videos/32eced84-e7a8-443d-83af-56e863d562c2.mp4,Coronavirus|Healthcare|Jobs,246,224945.34,2020-06-16
